,x_coord,y_coord
doctor,-43.014004,-33.771454
time,12.929251,74.01042
office,-48.0717,-10.937896
staff,-33.174458,-16.113323
wait,20.043264,65.54558
appointment,2.361546,57.419025
tell,4.2010593,36.805805
good,-15.031235,-47.1725
patient,-28.354794,-14.68176
come,5.4835086,25.697226
care,-1.0336413,-34.73359
need,-14.05424,17.096577
dr.,-41.066143,-49.117958
great,-12.845887,-48.798664
dr,-41.208572,-49.00166
ask,3.492086,38.041344
place,-47.89804,-10.412754
know,-18.611252,21.625282
like,-6.7127247,3.0047112
experience,-19.788385,-19.056587
find,-31.144037,3.8706
visit,-32.044643,48.14809
work,-24.199957,-29.206264
day,12.703109,75.6433
want,-14.3745165,17.162697
's,-58.8774,-29.149134
feel,-3.4284759,-17.68467
help,-11.025008,-34.410805
year,12.025543,82.294975
hour,19.07157,71.924446
leave,46.24044,26.600819
look,-5.7903967,22.890835
nurse,-35.98425,-15.48327
insurance,21.751183,46.697628
friendly,-4.9191594,-44.79206
bad,5.879893,-7.111042
try,-1.1468058,30.882763
surgery,41.90659,-37.95383
check,-19.208654,45.229233
nice,-5.837237,-44.492794
people,-29.332102,-10.970607
new,-13.087122,-12.654193
pain,41.595802,-9.633503
think,-21.544317,21.50602
week,12.626069,77.15221
recommend,-29.249014,14.125668
question,8.33852,-28.348598
thing,-15.096132,12.615207
review,-18.763773,12.166064
issue,33.682816,-14.812143
pay,28.798372,44.271976
way,-15.048655,-18.346975
long,20.03154,15.241267
professional,-0.40124157,-46.316975
schedule,0.17167692,55.019474
2,35.005302,60.420895
room,14.300297,22.544336
hospital,-54.345783,-4.063619
thank,-21.526419,-50.107777
service,-10.230148,-23.340363
treat,-7.559597,-1.0817078
amazing,-12.645597,-50.4235
3,35.149376,60.46121
talk,4.471463,15.639066
love,-15.779268,-51.632385
receive,4.644346,46.91791
walk,13.471831,25.578497
practice,-28.625242,-18.460709
answer,8.169107,-28.33025
right,12.131127,12.871239
problem,33.677433,-14.806944
use,-21.265902,0.7287253
medical,-28.728416,-30.406597
phone,-3.2043636,40.865078
send,13.5826235,39.474976
start,-21.55589,41.781673
result,19.320574,-24.771803
procedure,41.703125,-37.919163
son,-52.94254,15.8998165
kind,-0.9106115,-43.71917
rude,-1.5597672,-3.9039931
treatment,30.811451,-36.701496
explain,6.069357,-31.40066
bill,25.006191,42.41424
able,-0.30115142,27.73023
month,12.537575,77.65042
listen,8.563897,-30.684332
highly_recommend,-28.833025,14.211969
person,-31.231588,-10.501286
daughter,-52.92455,15.883471
finally,-14.028608,61.430363
location,-49.141827,-10.687857
prescription,56.458656,15.681039
health,-28.391815,-31.063574
test,26.925177,27.373257
happy,-9.995693,-56.48943
helpful,-3.7169614,-45.83788
eye,40.49726,-45.249187
actually,-12.4857235,-19.960728
today,-2.5654404,70.727455
child,-51.07912,15.867043
front_desk,-36.38092,-10.039647
family,-59.448635,20.992731
husband,-54.996895,18.492401
concern,8.5632715,-28.344244
little,-12.981181,-2.567118
different,-3.26396,48.03059
speak,4.3151407,15.26582
urgent_care,-50.73341,-5.8907323
lot,36.694744,32.002537
life,-21.599268,-35.2378
return,-10.123997,41.440304
change,-33.498646,1.6807847
facility,-48.11393,-10.593236
clinic,-48.46179,-10.665428
clean,-10.017404,-14.811977
feel_like,-3.3479135,-17.347923
money,33.366394,39.53701
wonderful,-12.607948,-49.19505
er,-52.501266,-2.9193137
job,-24.164698,-29.305874
receptionist,-35.380333,-9.370609
hear,5.8447714,20.211832
run,26.873062,6.222975
follow_up,-4.132181,52.145542
spend,12.903517,73.2413
sit,11.659544,19.75781
wrong,12.659034,12.990022
charge,29.893549,43.349003
medication,57.73584,10.644705
4,35.417236,60.47186
meet,-38.30428,6.2632318
kid,-51.01758,16.003353
refer,-30.007986,13.816853
happen,6.100998,28.007807
friend,-58.846478,21.984295
waiting_room,14.0632,21.165989
make_sure,5.4812536,-34.36633
sure,-18.814598,21.61113
